USB,SiteType,SiteName,Password,SiteCode
SC1,SatComm,Prism,ninja,BN42
SC2,SatComm,Dropmire,master,HKNN
SC3,SatComm,Echelon,password,YB7Q
SC4,SatComm,Mystic,shwifty,765R
SC5,SatComm,Daedalus,stardust,38HL
SC6,SatComm,Carnivore,zerocool,AH9C
SC7,SatComm,Dishfire,matrix,SHRS
SC8,SatComm,StoneGhost,blackhat,G6WS
SC9,SatComm,Tempora,snowball,KHZ4
SC10,SatComm,Fairview,overlord,KGMT
SC11,SatComm,Bullrun,monkey,X9NP
SC12,SatComm,Stringray,division,J2T6
FS1,FileServ,Hydra,rosebud,QLFE
FS2,FileServ,Arrow,dharma,FHSB
FS3,FileServ,Flame,19,ERDA
FS4,FileServ,Orchid,swordfish,MH4L
FS5,FileServ,Tempest,zion,6JHM
FS6,FileServ,Swan,alohomora,G3YV
FS7,FileServ,Pearl,normandy,M5WR
FS8,FileServ,Staff,0451,64FL
